REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10431;1;2;1;1;1;2;1;3;2;TR1;4326.957947
2023;10432;1;2;1;2;1;2;1;2;2;TR1;4298.4214
2023;10433;1;2;1;2;1;2;1;5;4;TR1;4571.570979
2023;10434;1;2;1;1;1;2;1;3;5;TR1;3090.879353
2023;10435;1;2;1;2;1;1;1;4;4;TR1;4377.122372
2023;10436;1;2;2;1;1;2;1;4;4;TR1;3326.545803
2023;10437;1;2;2;2;1;2;2;2;2;TR1;3112.245152
2023;10439;1;2;2;1;1;1;1;3;5;TR1;3518.145683
2023;10441;1;2;1;1;1;2;1;5;5;TR1;4721.324824
2023;10442;1;1;2;1;1;1;1;2;3;TR1;3683.122478
2023;10443;1;2;2;2;1;2;1;1;1;TR1;4206.874342
2023;10444;1;2;1;2;1;1;1;4;1;TR1;4398.830348
2023;10445;1;2;2;1;1;2;1;3;2;TR1;3112.245152
2023;10446;1;2;1;2;1;1;1;4;2;TR1;4052.426778
2023;10447;1;2;2;2;1;2;1;4;2;TR1;3450.880813
2023;10448;1;2;2;2;1;2;2;2;2;TR1;2920.661348
2023;10449;1;2;1;1;1;1;1;5;4;TR1;3638.72143
2023;10451;1;2;1;2;1;1;1;5;5;TR1;6986.430428
2023;10452;1;1;1;1;1;2;1;3;3;TR1;3527.38904
2023;10453;1;2;1;1;1;2;1;1;5;TR1;3916.435846
2023;10454;1;2;2;2;1;2;1;2;5;TR1;3269.838733
2023;10455;1;2;1;1;1;2;1;3;4;TR1;3476.819528
2023;10456;1;2;2;2;1;2;1;2;4;TR1;5153.96652
2023;10457;1;2;1;2;1;1;1;5;3;TR1;3643.093632
2023;10458;1;2;2;2;1;2;2;2;2;TR1;2920.661348
2023;10459;1;2;1;2;1;2;1;2;3;TR1;3422.801752
2023;10461;1;2;1;2;1;1;1;2;3;TR1;4406.564607
